Field,Description,Mandatory,ExpectedType,TestScenario
lpc,Three letter loan product code.,Y,String,REMOVE
loanAmount,Loan amount / Enquiry Amount (Integer),Y,Integer,REMOVE
loanType,"secured, unsecured, business personal, consumer",Y,String,REMOVE
customerId,CustomerId from appForm against that applicant,Y,String,REMOVE
withdrawalId,Withdrawal level id for which bureau pull is being performed,N,String,
bureau.vendor,"ConsumerCibil, ConsumerExperian, CommercialCibil",Y,String,REMOVE
bureau.pullType,"SoftPull, HardPull, D2CFP, D2CRP",Y,String,REMOVE
bureau.experianPsvFlag,0 or 1. Effective only if the vendor is ConsumerExperian and pullType is HardPull,N,Integer,
kyc.type,panCard For ConsumerCibil HardPull/AdditionalMatchPull - panCard passport drivingLicence voterId rationCard,Y,String,REMOVE
kyc.surname,Surname,Y,String,REMOVE
kyc.firstName,First Name,Y,String,REMOVE
kyc.middleName1,Middle Name,N,String,
kyc.middleName2,Middle Name,N,String,
kyc.middleName3,Middle Name,N,String,
kyc.gender,M / F / T,Y,String,REMOVE
kyc.dob,Standard ISO 8601 format,Y,String,REMOVE
kyc.phone,10 digits phone number,Y,String,REMOVE
kyc.email,Valid Email Address.,N,String,
